Store,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,Year,Month,Week,DayOfWeek,Quarter,IsWeekend,lag_7,lag_14,lag_28,rolling_mean_7,rolling_mean_28
1,2020-02-04,5645,667,1,0,0,0,c,a,5490,2020,2,6,1,1,0,5677.0,4044.0,6374.0,6070.714285714285,5787.464285714285
1,2020-02-05,6393,712,1,0,0,0,c,a,5490,2020,2,6,2,1,0,7336.0,5736.0,4580.0,6066.142857142857,5761.428571428572
1,2020-02-06,7049,532,1,1,0,0,c,a,5490,2020,2,6,3,1,0,6138.0,5367.0,4682.0,5931.428571428572,5826.178571428572
1,2020-02-07,6649,729,1,1,0,0,c,a,5490,2020,2,6,4,1,0,7344.0,6008.0,4536.0,6061.571428571428,5910.714285714285
1,2020-02-08,6330,473,1,1,0,0,c,a,5490,2020,2,6,5,1,1,5096.0,6924.0,5482.0,5962.285714285715,5986.178571428572
1,2020-02-10,5497,634,1,0,0,0,c,a,5490,2020,2,7,0,1,0,4019.0,6385.0,7254.0,6138.571428571428,6016.464285714285
1,2020-02-11,6532,496,1,0,0,0,c,a,5490,2020,2,7,1,1,0,6885.0,3910.0,6383.0,6349.714285714285,5953.714285714285
1,2020-02-12,6095,550,1,0,0,0,c,a,5490,2020,2,7,2,1,0,5645.0,5677.0,6315.0,6299.285714285715,5959.035714285715
1,2020-02-13,5656,564,1,0,0,0,c,a,5490,2020,2,7,3,1,0,6393.0,7336.0,4186.0,6363.571428571428,5951.178571428572
1,2020-02-14,6197,623,1,1,0,0,c,a,5490,2020,2,7,4,1,0,7049.0,6138.0,5146.0,6258.285714285715,6003.678571428572
1,2020-02-15,4397,317,1,0,0,0,c,a,5490,2020,2,7,5,1,1,6649.0,7344.0,6818.0,6136.571428571428,6041.214285714285
1,2020-02-17,7227,759,1,1,0,0,c,a,5490,2020,2,8,0,1,0,6330.0,5096.0,7515.0,5814.857142857143,5954.75
1,2020-02-18,5743,698,1,0,0,0,c,a,5490,2020,2,8,1,1,0,5497.0,4019.0,6732.0,5943.0,5944.464285714285
1,2020-02-19,7089,643,1,1,0,0,c,a,5490,2020,2,8,2,1,0,6532.0,6885.0,5177.0,5978.142857142857,5909.142857142857
1,2020-02-20,6105,646,1,0,0,0,c,a,5490,2020,2,8,3,1,0,6095.0,5645.0,4044.0,6057.714285714285,5977.428571428572
1,2020-02-21,5174,473,1,0,0,0,c,a,5490,2020,2,8,4,1,0,5656.0,6393.0,5736.0,6059.142857142857,6051.035714285715
1,2020-02-22,6321,502,1,1,0,0,c,a,5490,2020,2,8,5,1,1,6197.0,7049.0,5367.0,5990.285714285715,6030.964285714285
1,2020-02-24,5219,421,1,0,0,0,c,a,5490,2020,2,9,0,1,0,4397.0,6649.0,6008.0,6008.0,6065.035714285715
1,2020-02-25,6817,607,1,0,0,0,c,a,5490,2020,2,9,1,1,0,7227.0,6330.0,6924.0,6125.428571428572,6036.857142857143
1,2020-02-26,6978,536,1,0,0,0,c,a,5490,2020,2,9,2,1,0,5743.0,5497.0,6385.0,6066.857142857143,6033.035714285715
1,2020-02-27,6702,827,1,0,0,0,c,a,5490,2020,2,9,3,1,0,7089.0,6532.0,3910.0,6243.285714285715,6054.214285714285
1,2020-02-28,5736,612,1,0,0,0,c,a,5490,2020,2,9,4,1,0,6105.0,6095.0,5677.0,6188.0,6153.928571428572
1,2020-02-29,6362,616,1,1,0,0,c,a,5490,2020,2,9,5,1,1,5174.0,5656.0,7336.0,6135.285714285715,6156.035714285715
1,2020-03-02,6592,746,1,1,0,0,c,a,5490,2020,3,10,0,1,0,6321.0,6197.0,6138.0,6305.0,6121.25
1,2020-03-03,6275,524,1,0,0,0,c,a,5490,2020,3,10,1,1,0,5219.0,4397.0,7344.0,6343.714285714285,6137.464285714285
1,2020-03-04,7943,700,1,1,0,0,c,a,5490,2020,3,10,2,1,0,6817.0,7227.0,5096.0,6494.571428571428,6099.285714285715
1,2020-03-05,6060,452,1,0,0,0,c,a,5490,2020,3,10,3,1,0,6978.0,5743.0,4019.0,6655.428571428572,6200.964285714285
1,2020-03-06,6610,560,1,1,0,0,c,a,5490,2020,3,10,4,1,0,6702.0,7089.0,6885.0,6524.285714285715,6273.857142857143
1,2020-03-07,5643,421,1,0,0,0,c,a,5490,2020,3,10,5,1,1,5736.0,6105.0,5645.0,6511.142857142857,6264.035714285715
1,2020-03-09,6751,532,1,1,0,0,c,a,5490,2020,3,11,0,1,0,6362.0,5174.0,6393.0,6497.857142857143,6263.964285714285
1,2020-03-10,7791,967,1,1,0,0,c,a,5490,2020,3,11,1,1,0,6592.0,6321.0,7049.0,6553.428571428572,6276.75
1,2020-03-11,7048,588,1,0,0,0,c,a,5490,2020,3,11,2,1,0,6275.0,5219.0,6649.0,6724.714285714285,6303.25
1,2020-03-12,6396,526,1,0,0,0,c,a,5490,2020,3,11,3,1,0,7943.0,6817.0,6330.0,6835.142857142857,6317.5
1,2020-03-13,6368,681,1,1,0,0,c,a,5490,2020,3,11,4,1,0,6060.0,6978.0,5497.0,6614.142857142857,6319.857142857143
1,2020-03-14,6153,493,1,1,0,0,c,a,5490,2020,3,11,5,1,1,6610.0,6702.0,6532.0,6658.142857142857,6350.964285714285
1,2020-03-16,6798,519,1,1,0,0,c,a,5490,2020,3,12,0,1,0,5643.0,5736.0,6095.0,6592.857142857143,6337.428571428572
1,2020-03-17,7520,736,1,1,0,0,c,a,5490,2020,3,12,1,1,0,6751.0,6362.0,5656.0,6757.857142857143,6362.535714285715
1,2020-03-18,6928,732,1,0,0,0,c,a,5490,2020,3,12,2,1,0,7791.0,6592.0,6197.0,6867.714285714285,6429.107142857143
1,2020-03-19,7966,675,1,1,0,0,c,a,5490,2020,3,12,3,1,0,7048.0,6275.0,4397.0,6744.428571428572,6455.214285714285
1,2020-03-20,6894,625,1,1,0,0,c,a,5490,2020,3,12,4,1,0,6396.0,7943.0,7227.0,6875.571428571428,6582.678571428572
1,2020-03-21,6054,490,1,1,0,0,c,a,5490,2020,3,12,5,1,1,6368.0,6060.0,5743.0,6946.714285714285,6570.785714285715
1,2020-03-23,6221,763,1,0,0,0,c,a,5490,2020,3,13,0,1,0,6153.0,6610.0,7089.0,6901.857142857143,6581.892857142857
1,2020-03-24,7959,576,1,1,0,0,c,a,5490,2020,3,13,1,1,0,6798.0,5643.0,6105.0,6911.571428571428,6550.892857142857
1,2020-03-25,8460,644,1,1,0,0,c,a,5490,2020,3,13,2,1,0,7520.0,6751.0,5174.0,7077.428571428572,6617.107142857143
1,2020-03-26,7034,710,1,0,0,0,c,a,5490,2020,3,13,3,1,0,6928.0,7791.0,6321.0,7211.714285714285,6734.464285714285
1,2020-03-27,5859,516,1,0,0,0,c,a,5490,2020,3,13,4,1,0,7966.0,7048.0,5219.0,7226.857142857143,6759.928571428572
1,2020-03-28,6989,814,1,1,0,0,c,a,5490,2020,3,13,5,1,1,6894.0,6396.0,6817.0,6925.857142857143,6782.785714285715
1,2020-03-30,8216,589,1,1,0,0,c,a,5490,2020,3,14,0,1,0,6054.0,6368.0,6978.0,6939.428571428572,6788.928571428572
1,2020-03-31,7417,596,1,0,0,0,c,a,5490,2020,3,14,1,1,0,6221.0,6153.0,6702.0,7248.285714285715,6833.142857142857
1,2020-04-01,8352,683,1,1,0,0,c,a,5490,2020,4,14,2,2,0,7959.0,6798.0,5736.0,7419.142857142857,6858.678571428572
1,2020-04-02,7136,554,1,0,0,0,c,a,5490,2020,4,14,3,2,0,8460.0,7520.0,6362.0,7475.285714285715,6952.107142857143
1,2020-04-03,7065,524,1,1,0,0,c,a,5490,2020,4,14,4,2,0,7034.0,6928.0,6592.0,7286.142857142857,6979.75
1,2020-04-04,6305,529,1,0,0,0,c,a,5490,2020,4,14,5,2,1,5859.0,7966.0,6275.0,7290.571428571428,6996.642857142857
1,2020-04-06,7699,602,1,1,0,0,c,a,5490,2020,4,15,0,2,0,6989.0,6894.0,7943.0,7354.285714285715,6997.714285714285
1,2020-04-07,7876,919,1,1,0,0,c,a,5490,2020,4,15,1,2,0,8216.0,6054.0,6060.0,7455.714285714285,6989.0
1,2020-04-08,7913,963,1,1,0,0,c,a,5490,2020,4,15,2,2,0,7417.0,6221.0,6610.0,7407.142857142857,7053.857142857143
1,2020-04-09,6259,542,1,0,0,0,c,a,5490,2020,4,15,3,2,0,8352.0,7959.0,5643.0,7478.0,7100.392857142857
1,2020-04-11,6045,735,1,0,0,0,c,a,5490,2020,4,15,5,2,1,7136.0,8460.0,6751.0,7179.0,7122.392857142857
1,2020-04-13,7508,674,1,1,0,0,c,a,5490,2020,4,16,0,2,0,7065.0,7034.0,7791.0,7023.142857142857,7097.178571428572
1,2020-04-14,8343,897,1,1,0,0,c,a,5490,2020,4,16,1,2,0,6305.0,5859.0,7048.0,7086.428571428572,7087.071428571428
1,2020-04-15,9557,808,1,1,0,0,c,a,5490,2020,4,16,2,2,0,7699.0,6989.0,6396.0,7377.571428571428,7133.321428571428
1,2020-04-16,8955,646,1,1,0,0,c,a,5490,2020,4,16,3,2,0,7876.0,8216.0,6368.0,7643.0,7246.214285714285
1,2020-04-17,6855,712,1,0,0,0,c,a,5490,2020,4,16,4,2,0,7913.0,7417.0,6153.0,7797.142857142857,7338.607142857143
1,2020-04-18,5819,686,1,0,0,0,c,a,5490,2020,4,16,5,2,1,6259.0,8352.0,6798.0,7646.0,7363.678571428572
1,2020-04-20,6554,725,1,0,0,0,c,a,5490,2020,4,17,0,2,0,6045.0,7136.0,7520.0,7583.142857142857,7328.714285714285
1,2020-04-21,8107,853,1,0,0,0,c,a,5490,2020,4,17,1,2,0,7508.0,7065.0,6928.0,7655.857142857143,7294.214285714285
1,2020-04-22,8002,826,1,0,0,0,c,a,5490,2020,4,17,2,2,0,8343.0,6305.0,7966.0,7741.428571428572,7336.321428571428
1,2020-04-23,8881,714,1,1,0,0,c,a,5490,2020,4,17,3,2,0,9557.0,7699.0,6894.0,7692.714285714285,7337.607142857143
1,2020-04-24,7242,763,1,1,0,0,c,a,5490,2020,4,17,4,2,0,8955.0,7876.0,6054.0,7596.142857142857,7408.571428571428
1,2020-04-25,6913,550,1,0,0,0,c,a,5490,2020,4,17,5,2,1,6855.0,7913.0,6221.0,7351.428571428572,7451.0
1,2020-04-27,6903,803,1,0,0,0,c,a,5490,2020,4,18,0,2,0,5819.0,6259.0,7959.0,7359.714285714285,7475.714285714285
1,2020-04-28,8331,768,1,0,0,0,c,a,5490,2020,4,18,1,2,0,6554.0,6045.0,8460.0,7514.571428571428,7438.0
1,2020-04-29,7016,599,1,0,0,0,c,a,5490,2020,4,18,2,2,0,8107.0,7508.0,7034.0,7768.428571428572,7433.392857142857
1,2020-04-30,8037,971,1,1,0,0,c,a,5490,2020,4,18,3,2,0,8002.0,8343.0,5859.0,7612.571428571428,7432.75
1,2020-05-01,6762,514,1,0,0,0,c,a,5490,2020,5,18,4,2,0,8881.0,9557.0,6989.0,7617.571428571428,7510.535714285715
1,2020-05-02,8394,934,1,1,0,0,c,a,5490,2020,5,18,5,2,1,7242.0,8955.0,8216.0,7314.857142857143,7502.428571428572
1,2020-05-04,7052,612,1,0,0,0,c,a,5490,2020,5,19,0,2,0,6913.0,6855.0,7417.0,7479.428571428572,7508.785714285715
1,2020-05-05,8921,778,1,1,0,0,c,a,5490,2020,5,19,1,2,0,6903.0,5819.0,8352.0,7499.285714285715,7495.75
1,2020-05-06,7678,681,1,0,0,0,c,a,5490,2020,5,19,2,2,0,8331.0,6554.0,7136.0,7787.571428571428,7516.071428571428
1,2020-05-07,9477,918,1,1,0,0,c,a,5490,2020,5,19,3,2,0,7016.0,8107.0,7065.0,7694.285714285715,7535.428571428572
1,2020-05-08,7833,790,1,1,0,0,c,a,5490,2020,5,19,4,2,0,8037.0,8002.0,6305.0,8045.857142857143,7621.571428571428
1,2020-05-09,7702,946,1,1,0,0,c,a,5490,2020,5,19,5,2,1,6762.0,8881.0,7699.0,8016.714285714285,7676.142857142857
1,2020-05-11,8166,670,1,1,0,0,c,a,5490,2020,5,20,0,2,0,8394.0,7242.0,7876.0,8151.0,7676.25
1,2020-05-12,8885,669,1,1,0,0,c,a,5490,2020,5,20,1,2,0,7052.0,6913.0,7913.0,8118.428571428572,7686.607142857143
1,2020-05-13,8945,986,1,1,0,0,c,a,5490,2020,5,20,2,2,0,8921.0,6903.0,6259.0,8380.285714285714,7721.321428571428
1,2020-05-14,9124,710,1,1,0,0,c,a,5490,2020,5,20,3,2,0,7678.0,8331.0,6045.0,8383.714285714286,7817.25
1,2020-05-15,7453,588,1,1,0,0,c,a,5490,2020,5,20,4,2,0,9477.0,7016.0,7508.0,8590.285714285714,7927.214285714285
1,2020-05-16,6121,450,1,0,0,0,c,a,5490,2020,5,20,5,2,1,7833.0,8037.0,8343.0,8301.142857142857,7925.25
1,2020-05-18,9114,727,1,1,0,0,c,a,5490,2020,5,21,0,2,0,7702.0,6762.0,9557.0,8056.571428571428,7845.892857142857
1,2020-05-19,7814,582,1,0,0,0,c,a,5490,2020,5,21,1,2,0,8166.0,8394.0,8955.0,8258.285714285714,7830.071428571428
1,2020-05-20,7945,594,1,0,0,0,c,a,5490,2020,5,21,2,2,0,8885.0,7052.0,6855.0,8208.0,7789.321428571428
1,2020-05-21,8109,1005,1,0,0,0,c,a,5490,2020,5,21,3,2,0,8945.0,8921.0,5819.0,8073.714285714285,7828.25
1,2020-05-22,8141,594,1,1,0,0,c,a,5490,2020,5,21,4,2,0,9124.0,7678.0,6554.0,7954.285714285715,7910.035714285715
1,2020-05-23,7609,665,1,1,0,0,c,a,5490,2020,5,21,5,2,1,7453.0,9477.0,8107.0,7813.857142857143,7966.714285714285
1,2020-05-25,7931,795,1,1,0,0,c,a,5490,2020,5,22,0,2,0,6121.0,7833.0,8002.0,7836.142857142857,7948.928571428572
1,2020-05-26,9060,723,1,1,0,0,c,a,5490,2020,5,22,1,2,0,9114.0,7702.0,8881.0,8094.714285714285,7946.392857142857
1,2020-05-27,9124,807,1,1,0,0,c,a,5490,2020,5,22,2,2,0,7814.0,8166.0,7242.0,8087.0,7952.785714285715
1,2020-05-28,7836,588,1,0,0,0,c,a,5490,2020,5,22,3,2,0,7945.0,8885.0,6913.0,8274.142857142857,8020.0
1,2020-05-29,7421,862,1,0,0,0,c,a,5490,2020,5,22,4,2,0,8109.0,8945.0,6903.0,8258.57142857143,8052.964285714285
1,2020-05-30,7303,598,1,0,0,0,c,a,5490,2020,5,22,5,2,1,8141.0,9124.0,8331.0,8160.285714285715,8071.464285714285
1,2020-06-01,7767,915,1,0,0,0,c,a,5490,2020,6,23,0,2,0,7609.0,7453.0,7016.0,8040.571428571428,8034.75
1,2020-06-02,8498,610,1,0,0,0,c,a,5490,2020,6,23,1,2,0,7931.0,6121.0,8037.0,8063.142857142857,8061.571428571428
1,2020-06-03,8765,640,1,0,0,0,c,a,5490,2020,6,23,2,2,0,9060.0,9114.0,6762.0,8144.142857142857,8078.035714285715
