Store,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance
1,2020-01-01,0,0,0,0,a,0,c,a,5490
1,2020-01-02,6374,700,1,1,0,0,c,a,5490
1,2020-01-03,4580,410,1,0,0,0,c,a,5490
1,2020-01-04,4682,529,1,0,0,0,c,a,5490
1,2020-01-05,0,0,0,0,0,0,c,a,5490
1,2020-01-06,4536,444,1,0,0,0,c,a,5490
1,2020-01-07,5482,494,1,0,0,0,c,a,5490
1,2020-01-08,7254,876,1,1,0,0,c,a,5490
1,2020-01-09,6383,743,1,1,0,0,c,a,5490
1,2020-01-10,6315,593,1,1,0,0,c,a,5490
1,2020-01-11,4186,311,1,0,0,0,c,a,5490
1,2020-01-12,0,0,0,0,0,0,c,a,5490
1,2020-01-13,5146,429,1,0,0,0,c,a,5490
1,2020-01-14,6818,748,1,0,0,0,c,a,5490
1,2020-01-15,7515,594,1,1,0,0,c,a,5490
1,2020-01-16,6732,497,1,1,0,0,c,a,5490
1,2020-01-17,5177,564,1,0,0,0,c,a,5490
1,2020-01-18,4044,420,1,0,0,0,c,a,5490
1,2020-01-19,0,0,0,0,0,0,c,a,5490
1,2020-01-20,5736,565,1,1,0,0,c,a,5490
1,2020-01-21,5367,418,1,0,0,0,c,a,5490
1,2020-01-22,6008,431,1,0,0,0,c,a,5490
1,2020-01-23,6924,559,1,1,0,0,c,a,5490
1,2020-01-24,6385,756,1,1,0,0,c,a,5490
1,2020-01-25,3910,466,1,0,0,0,c,a,5490
1,2020-01-26,0,0,0,0,0,0,c,a,5490
1,2020-01-27,5677,570,1,0,0,0,c,a,5490
1,2020-01-28,7336,677,1,1,0,0,c,a,5490
1,2020-01-29,6138,499,1,0,0,0,c,a,5490
1,2020-01-30,7344,669,1,1,0,0,c,a,5490
1,2020-01-31,5096,482,1,0,0,0,c,a,5490
1,2020-02-01,4019,363,1,0,0,0,c,a,5490
1,2020-02-02,0,0,0,0,0,0,c,a,5490
1,2020-02-03,6885,725,1,1,0,0,c,a,5490
1,2020-02-04,5645,667,1,0,0,0,c,a,5490
1,2020-02-05,6393,712,1,0,0,0,c,a,5490
1,2020-02-06,7049,532,1,1,0,0,c,a,5490
1,2020-02-07,6649,729,1,1,0,0,c,a,5490
1,2020-02-08,6330,473,1,1,0,0,c,a,5490
